"dateTime"	"wnd"
2013-05-01 05:10:00	1.43
2013-05-01 05:20:00	1.175
2013-05-01 05:30:00	1.149
2013-05-01 05:40:00	1.186
2013-05-01 05:50:00	1.416
2013-05-01 06:00:00	1.521
2013-05-01 06:10:00	1.676
2013-05-01 06:20:00	1.778
2013-05-01 06:30:00	1.69
2013-05-01 06:40:00	2.141
2013-05-01 06:50:00	1.504
2013-05-01 07:00:00	1.36
2013-05-01 07:10:00	1.834
2013-05-01 07:20:00	2.811
2013-05-01 07:30:00	2.485
2013-05-01 07:40:00	2.889
2013-05-01 07:50:00	2.772
2013-05-01 08:00:00	2.773
2013-05-01 08:10:00	2.873
2013-05-01 08:20:00	2.24
2013-05-01 08:30:00	3.122
2013-05-01 08:40:00	2.474
2013-05-01 08:50:00	2.635
2013-05-01 09:00:00	2.902
2013-05-01 09:10:00	3.659
2013-05-01 09:20:00	2.846
2013-05-01 09:30:00	2.718
2013-05-01 09:40:00	2.791
2013-05-01 09:50:00	3.349
2013-05-01 10:00:00	3.51
2013-05-01 10:10:00	3.104
2013-05-01 10:20:00	3.582
2013-05-01 10:30:00	3.228
2013-05-01 10:40:00	2.792
2013-05-01 10:50:00	3.319
2013-05-01 11:00:00	3.585
2013-05-01 11:10:00	3.788
2013-05-01 11:20:00	3.434
2013-05-01 11:30:00	3.029
2013-05-01 11:40:00	3.172
2013-05-01 11:50:00	3.007
2013-05-01 12:00:00	3.214
2013-05-01 12:10:00	3.215
2013-05-01 12:20:00	3.054
2013-05-01 12:30:00	3.62
2013-05-01 12:40:00	2.406
2013-05-01 12:50:00	2.514
2013-05-01 13:00:00	3.739
2013-05-01 13:10:00	3.98
2013-05-01 13:20:00	3.027
2013-05-01 13:30:00	3.612
2013-05-01 13:40:00	2.983
2013-05-01 13:50:00	1.275
2013-05-01 14:00:00	2.642
2013-05-01 14:10:00	3.052
2013-05-01 14:20:00	2.13
2013-05-01 14:30:00	1.842
2013-05-01 14:40:00	2.968
2013-05-01 14:50:00	1.861
2013-05-01 15:00:00	2.119
2013-05-01 15:10:00	3.768
2013-05-01 15:20:00	3.39
2013-05-01 15:30:00	3.799
2013-05-01 15:40:00	2.99
2013-05-01 15:50:00	3.61
2013-05-01 16:00:00	2.973
2013-05-01 16:10:00	2.983
2013-05-01 16:20:00	3.216
2013-05-01 16:30:00	3.37
2013-05-01 16:40:00	2.906
2013-05-01 16:50:00	2.663
2013-05-01 17:00:00	2.204
2013-05-01 17:10:00	2.406
2013-05-01 17:20:00	3.2
2013-05-01 17:30:00	2.726
2013-05-01 17:40:00	2.227
2013-05-01 17:50:00	2.397
2013-05-01 18:00:00	2.135
2013-05-01 18:10:00	2.119
2013-05-01 18:20:00	2.173
2013-05-01 18:30:00	1.639
2013-05-01 18:40:00	2.09
2013-05-01 18:50:00	1.832
2013-05-01 19:00:00	1.656
2013-05-01 19:10:00	1.376
2013-05-01 19:20:00	1.55
2013-05-01 19:30:00	1.184
2013-05-01 19:40:00	0.944
2013-05-01 19:50:00	0.951
2013-05-01 20:00:00	1.019
2013-05-01 20:10:00	0.878
2013-05-01 20:20:00	0.475
2013-05-01 20:30:00	0.185
2013-05-01 20:40:00	0.275
2013-05-01 20:50:00	0.228
2013-05-01 21:00:00	0.233
2013-05-01 21:10:00	0.235
2013-05-01 21:20:00	0.365
2013-05-01 21:30:00	0.194
2013-05-01 21:40:00	0.249
2013-05-01 21:50:00	0.033
2013-05-01 22:00:00	0.003
2013-05-01 22:10:00	0.462
2013-05-01 22:20:00	0.265
2013-05-01 22:30:00	0.267
2013-05-01 22:40:00	0.099
2013-05-01 22:50:00	0.183
2013-05-01 23:00:00	0.297
2013-05-01 23:10:00	0
2013-05-01 23:20:00	0.259
2013-05-01 23:30:00	0.185
2013-05-01 23:40:00	0.232
2013-05-01 23:50:00	0.172
2013-05-02 00:00:00	0.312
2013-05-02 00:10:00	0.115
2013-05-02 00:20:00	0.134
2013-05-02 00:30:00	0
2013-05-02 00:40:00	0.146
2013-05-02 00:50:00	0.245
2013-05-02 01:00:00	0.364
2013-05-02 01:10:00	0.514
2013-05-02 01:20:00	0.363
2013-05-02 01:30:00	0.382
2013-05-02 01:40:00	0.598
2013-05-02 01:50:00	0.605
2013-05-02 02:00:00	0.642
2013-05-02 02:10:00	0.128
