dateTime	wtr0.5	wtr1.0	wtr1.5	wtr2.0	wtr3.0	wtr4.0	wtr6.0	wtr8.0
2014-04-25 08:30:00	0.36	1.133	1.467	1.921	2.76	3.477	3.87	4.271
2014-04-25 09:00:00	0.418	1.113	1.438	1.952	2.722	3.414	3.824	4.242
2014-04-25 09:30:00	0.477	1.112	1.412	1.943	2.713	3.388	3.789	4.19
2014-04-25 10:00:00	0.549	1.124	1.389	1.929	2.716	3.382	3.766	4.158
2014-04-25 10:30:00	0.619	1.159	1.391	1.947	2.734	3.391	3.784	4.159
2014-04-25 11:00:00	0.702	1.165	1.37	1.935	2.705	3.371	3.763	4.13
2014-04-25 11:30:00	0.795	1.172	1.343	1.942	2.669	3.369	3.736	4.111
2014-04-25 12:00:00	0.888	1.197	1.342	1.95	2.685	3.368	3.744	4.102
2014-04-25 12:30:00	0.918	1.227	1.346	1.946	2.698	3.372	3.739	4.08
2014-04-25 13:00:00	0.953	1.235	1.347	1.92	2.724	3.364	3.713	4.054
2014-04-25 13:30:00	1.049	1.255	1.417	1.922	2.674	3.349	3.716	4.039
2014-04-25 14:00:00	1.043	1.275	1.437	1.908	2.711	3.351	3.71	4.034
2014-04-25 14:30:00	1.083	1.323	1.469	1.931	2.717	3.382	3.724	4.03
2014-04-25 15:00:00	1.112	1.318	1.472	1.917	2.694	3.343	3.675	3.982
2014-04-25 15:30:00	1.184	1.381	1.526	1.979	2.714	3.38	3.687	3.976
2014-04-25 16:00:00	1.245	1.382	1.493	1.946	2.767	3.364	3.662	3.935
2014-04-25 16:30:00	1.381	1.458	1.552	1.98	2.834	3.44	3.704	3.96
2014-04-25 17:00:00	1.438	1.489	1.566	1.976	2.907	3.462	3.718	3.973
2014-04-25 17:30:00	1.43	1.499	1.559	1.944	2.926	3.48	3.719	3.966
2014-04-25 18:00:00	1.456	1.567	1.636	1.969	2.951	3.532	3.77	4.026
2014-04-25 18:30:00	1.422	1.576	1.645	1.918	2.978	3.541	3.771	4.035
2014-04-25 19:00:00	1.395	1.6	1.634	1.925	3.062	3.599	3.838	4.111
2014-04-25 19:30:00	1.335	1.566	1.609	1.926	3.08	3.626	3.864	4.154
2014-04-25 20:00:00	1.305	1.579	1.613	1.939	3.135	3.647	3.903	4.176
2014-04-25 20:30:00	1.231	1.608	1.651	1.985	3.147	3.677	3.967	4.239
2014-04-25 21:00:00	1.107	1.604	1.639	1.981	3.127	3.682	3.972	4.245
2014-04-25 21:30:00	1.054	1.611	1.663	2.005	3.126	3.698	4.005	4.278
2014-04-25 22:00:00	1.059	1.591	1.659	2.019	3.08	3.677	3.985	4.249
2014-04-25 22:30:00	1.027	1.601	1.67	2.012	3.09	3.679	3.986	4.268
2014-04-25 23:00:00	0.959	1.628	1.679	2.039	3.117	3.706	4.005	4.286
2014-04-25 23:30:00	0.861	1.615	1.675	2.001	3.104	3.702	4.01	4.3
2014-04-26 00:00:00	0.912	1.581	1.649	1.983	3.053	3.694	3.984	4.299
2014-04-26 00:30:00	0.915	1.593	1.687	2.021	3.023	3.732	4.013	4.363
2014-04-26 01:00:00	0.897	1.566	1.652	2.003	3.047	3.688	3.978	4.328
2014-04-26 01:30:00	0.879	1.583	1.651	2.011	3.064	3.67	3.978	4.319
2014-04-26 02:00:00	0.868	1.614	1.674	2.034	3.086	3.693	NA	4.342
2014-04-26 02:30:00	0.801	1.616	1.685	2.028	3.097	3.712	4.003	4.344
2014-04-26 03:00:00	0.77	1.602	1.671	1.996	3.066	3.681	3.972	4.33
2014-04-26 03:30:00	0.758	1.616	1.702	2.01	3.089	3.687	3.994	4.361
2014-04-26 04:00:00	0.744	1.602	1.714	1.979	3.049	3.647	3.972	4.347
2014-04-26 04:30:00	0.727	1.593	1.713	1.988	3.049	3.63	3.971	4.347
2014-04-26 05:00:00	0.713	1.579	1.734	2.016	3.026	3.633	3.974	4.341
2014-04-26 05:30:00	0.699	1.574	1.745	2.019	3.012	3.645	3.969	4.327
2014-04-26 06:00:00	0.66	1.535	1.715	2.024	2.982	3.631	3.947	4.314
2014-04-26 06:30:00	0.661	1.553	1.742	2.05	2.992	3.641	3.957	4.35
2014-04-26 07:00:00	0.653	1.536	1.733	2.059	2.966	3.607	3.949	4.358
2014-04-26 07:30:00	0.627	1.528	1.725	2.077	2.907	3.582	3.923	4.35
2014-04-26 08:00:00	0.637	1.529	1.718	2.103	2.882	3.574	3.924	4.308
2014-04-26 08:30:00	0.642	1.5	1.688	2.099	2.835	3.519	3.894	4.287
2014-04-26 09:00:00	0.711	1.517	1.705	2.142	2.826	3.527	3.903	4.303
2014-04-26 09:30:00	0.707	1.487	1.667	2.121	2.788	3.48	3.856	4.257
2014-04-26 10:00:00	0.743	1.472	1.651	2.114	2.738	3.421	3.814	4.223
2014-04-26 10:30:00	0.761	1.447	1.627	2.089	2.713	3.38	3.772	4.164
2014-04-26 11:00:00	0.832	1.466	1.646	2.099	2.698	3.364	3.756	4.148
2014-04-26 11:30:00	0.926	1.474	1.628	2.09	2.697	3.337	3.73	4.105
2014-04-26 12:00:00	1.006	1.494	1.631	2.093	2.692	3.341	3.733	4.083
2014-04-26 12:30:00	1.081	1.509	1.646	2.091	2.706	3.355	3.73	4.071
2014-04-26 13:00:00	1.187	1.53	1.633	2.086	2.667	3.307	3.7	4.049
2014-04-26 13:30:00	1.19	1.532	1.643	2.071	2.669	3.318	3.684	4.008
2014-04-26 14:00:00	1.293	1.558	1.661	2.08	2.729	3.309	3.684	NA
2014-04-26 14:30:00	1.385	1.582	1.684	2.095	2.701	3.333	3.7	3.998
2014-04-26 15:00:00	1.409	1.58	1.7	2.068	2.708	3.34	3.664	3.97
2014-04-26 15:30:00	1.493	1.656	1.758	2.1	2.784	3.398	3.713	4.012
2014-04-26 16:00:00	1.609	1.686	1.771	2.105	2.754	3.42	3.726	3.999
2014-04-26 16:30:00	1.597	1.7	1.777	2.093	2.777	3.399	3.698	3.953
2014-04-26 17:00:00	1.524	1.747	1.807	2.131	2.798	3.429	3.71	3.958
2014-04-26 17:30:00	1.688	1.765	1.799	2.141	2.867	3.439	3.712	3.967
2014-04-26 18:00:00	1.747	1.807	1.816	2.107	3.012	3.489	3.745	4.001
2014-04-26 18:30:00	1.774	1.809	1.8	2.082	2.962	3.516	3.772	4.036
2014-04-26 19:00:00	1.794	1.828	1.828	2.111	3.025	3.588	3.835	4.099
2014-04-26 19:30:00	1.772	1.841	1.866	2.114	3.097	3.66	3.882	4.197
2014-04-26 20:00:00	1.773	1.85	1.902	2.081	3.158	3.661	3.909	4.207
2014-04-26 20:30:00	1.421	1.883	1.917	2.089	3.183	3.686	3.95	4.257
2014-04-26 21:00:00	1.441	1.843	1.878	2.16	3.177	3.664	3.971	4.295
2014-04-26 21:30:00	1.393	1.761	1.864	2.189	3.078	3.676	3.975	4.29
2014-04-26 22:00:00	1.308	1.788	1.891	2.216	3.02	3.746	4.01	4.351
2014-04-26 22:30:00	1.277	1.816	1.902	2.219	3.048	3.732	4.005	4.346
2014-04-26 23:00:00	1.222	1.839	1.899	2.181	3.062	3.686	3.993	4.334
2014-04-26 23:30:00	1.149	1.861	1.912	2.152	3.05	3.691	3.998	4.322
2014-04-27 00:00:00	1.083	1.846	1.906	2.138	3.07	3.694	3.975	4.291
2014-04-27 00:30:00	1.044	1.842	1.919	2.15	3.023	3.706	3.988	4.295
2014-04-27 01:00:00	1.026	1.832	1.909	2.149	3.005	3.705	3.978	4.286
2014-04-27 01:30:00	1.016	1.84	1.925	2.165	3.038	3.704	3.995	4.293
2014-04-27 02:00:00	0.985	1.842	1.928	2.168	3.075	3.673	3.98	4.287
2014-04-27 02:30:00	0.927	1.819	1.922	2.17	3.077	3.641	3.983	4.29
2014-04-27 03:00:00	0.918	1.819	1.939	2.179	3.094	3.624	3.991	4.324
2014-04-27 03:30:00	0.927	1.819	1.922	2.196	3.077	3.659	NA	4.375
2014-04-27 04:00:00	0.87	1.814	1.899	2.19	3.055	3.678	3.994	4.319
2014-04-27 04:30:00	0.842	1.802	1.888	2.179	3.043	3.684	NA	4.299
2014-04-27 05:00:00	0.804	1.782	1.876	2.159	3.032	3.664	3.98	4.27
2014-04-27 05:30:00	0.773	1.75	1.853	2.162	NA	3.65	3.974	4.307
2014-04-27 06:00:00	0.727	1.722	1.867	2.184	2.946	3.638	3.963	4.355
2014-04-27 06:30:00	0.684	1.705	1.85	2.21	2.886	3.595	3.937	4.338
2014-04-27 07:00:00	0.667	1.679	1.868	2.262	2.818	3.553	3.912	4.321
2014-04-27 07:30:00	0.677	1.663	1.869	2.297	2.767	3.528	3.904	4.33
2014-04-27 08:00:00	0.686	1.646	1.852	2.323	2.733	3.477	3.87	4.322
2014-04-27 08:30:00	0.723	1.623	1.803	2.299	2.684	3.402	3.803	4.272
2014-04-27 09:00:00	0.783	1.648	1.82	2.333	2.71	3.393	3.786	4.246
2014-04-27 09:30:00	0.816	1.672	1.826	2.34	2.673	3.348	3.758	4.201
2014-04-27 10:00:00	0.833	1.673	1.81	2.306	2.682	3.297	3.707	4.15
2014-04-27 10:30:00	0.921	1.709	1.845	2.307	2.718	3.298	3.708	4.117
2014-04-27 11:00:00	1.061	1.712	1.857	2.268	2.661	3.259	3.702	4.094
2014-04-27 11:30:00	1.11	1.726	1.88	2.265	2.701	3.281	3.691	4.057
2014-04-27 12:00:00	1.196	1.752	1.863	2.231	2.692	3.273	3.682	4.04
2014-04-27 12:30:00	1.349	1.777	1.871	2.239	2.675	3.255	3.673	4.039
2014-04-27 13:00:00	1.363	1.791	1.868	2.235	2.662	3.243	3.669	3.993
2014-04-27 13:30:00	1.549	1.848	1.925	2.318	2.643	3.274	3.684	4.025
2014-04-27 14:00:00	1.586	1.86	1.963	2.304	2.663	3.295	3.661	3.985
