site	dateTime	TP	TN	SRP	Nitrate	DOC
Inlet2	2013-05-06 14:02:00	30.76	2226.95	7.16	378.17	21.98
Inlet2	2013-05-16 11:30:00	20.2	2061.02	10.46	390.04	26.49
Inlet2	2013-05-23 13:32:00	17.56	2007.53	11.21	417.8	NA
Inlet2	2013-05-30 10:20:00	30.59	2378.16	14.5	545.37	33.16
Inlet2	2013-06-06 10:40:00	19.45	2834.94	17.16	471.65	27.645
Inlet2	2013-07-02 13:40:00	22.66	768	10.62	473.51	29.24
Inlet2	2013-07-19 07:45:00	33.03	2091.97	42.56	566.91	28.99
Inlet2	2013-08-01 09:40:00	20.88	2170.48	10.11	471.28	20.205
Inlet2	2013-08-13 11:15:00	32.89	2625.87	16.14	757.53	38.045
Inlet2	2013-09-14 12:00:00	93.42	3072.52	65.61	683.44	45.23
