site	dateTime	TN	TP	DOC	PO4	NO3	NH4
Övre_Björntjärn	2012-03-20 10:30:00	461	25	18.8	12	14	21
Övre_Björntjärn	2012-04-02 10:30:00	437	18	25.4	6	4	4
Övre_Björntjärn	2012-04-11 20:00:00	542	20	21	8	6	19
Övre_Björntjärn	2012-04-12 20:00:00	458	16	22.6	4	5	5
Övre_Björntjärn	2012-04-12 10:30:00	459	15	20.5	8	7	5
Övre_Björntjärn	2012-04-13 20:00:00	789	16	25.6	4	3	4
Övre_Björntjärn	2012-04-14 20:00:00	451	15	25	4	4	15
Övre_Björntjärn	2012-04-15 20:00:00	471	17	24.2	6	5	6
Övre_Björntjärn	2012-04-16 20:00:00	738	13	23.5	4	4	1
Övre_Björntjärn	2012-04-17 20:00:00	453	17	22.9	3	5	3
Övre_Björntjärn	2012-04-18 20:00:00	1120	18	22.9	6	6	10
Övre_Björntjärn	2012-04-19 20:00:00	446	16	22	4	5	19
Övre_Björntjärn	2012-04-20 20:00:00	405	16	22.1	6	5	13
Övre_Björntjärn	2012-04-21 20:00:00	484	14	21.5	5	5	8
Övre_Björntjärn	2012-04-22 20:00:00	460	16	20.5	5	5	12
Övre_Björntjärn	2012-04-23 20:00:00	399	18	21.5	7	6	5
Övre_Björntjärn	2012-04-24 20:00:00	452	20	26.2	7	5	4
Övre_Björntjärn	2012-04-25 20:00:00	437	16	26	5	4	5
Övre_Björntjärn	2012-04-26 20:00:00	402	16	25	5	3	3
Övre_Björntjärn	2012-04-26 10:30:00	408	14	24.5	7	4	NA
Övre_Björntjärn	2012-04-27 20:00:00	435	19	24.4	3	3	NA
Övre_Björntjärn	2012-04-28 20:00:00	368	15	23.9	2	3	NA
Övre_Björntjärn	2012-04-29 20:00:00	408	17	22.1	6	3	NA
Övre_Björntjärn	2012-04-30 20:00:00	359	14	21.8	1	2	NA
Övre_Björntjärn	2012-05-01 20:00:00	368	13	21.6	2	2	NA
Övre_Björntjärn	2012-05-02 20:00:00	360	12	21.1	0	3	NA
Övre_Björntjärn	2012-05-03 20:00:00	369	14	20.5	1	2	NA
Övre_Björntjärn	2012-05-04 20:00:00	373	18	19	1	3	NA
Övre_Björntjärn	2012-05-05 20:00:00	357	21	19.7	1	2	NA
Övre_Björntjärn	2012-05-06 20:00:00	342	13	19.5	2	3	NA
Övre_Björntjärn	2012-05-07 20:00:00	341	12	19.7	0	0	NA
Övre_Björntjärn	2012-05-08 20:00:00	332	12	18.8	1	3	NA
Övre_Björntjärn	2012-05-09 20:00:00	341	14	19.2	3	3	NA
Övre_Björntjärn	2012-05-10 20:00:00	377	13	18.9	1	3	NA
Övre_Björntjärn	2012-05-11 20:00:00	340	16	17.9	4	2	4
Övre_Björntjärn	2012-05-12 20:00:00	317	15	16.2	2	2	NA
Övre_Björntjärn	2012-05-13 20:00:00	298	15	15.7	3	2	NA
Övre_Björntjärn	2012-05-14 10:30:00	298	14	15.3	2	2	NA
Övre_Björntjärn	2012-05-15 20:00:00	308	13	14.4	1	4	22
Övre_Björntjärn	2012-05-16 20:00:00	308	12	13.8	1	2	21
Övre_Björntjärn	2012-05-17 20:00:00	297	11	14.1	1	2	18
Övre_Björntjärn	2012-05-18 20:00:00	334	12	13.9	1	2	23
Övre_Björntjärn	2012-05-19 20:00:00	458	11	13.9	2	4	92
Övre_Björntjärn	2012-05-20 20:00:00	296	12	14.4	0	2	6
Övre_Björntjärn	2012-05-21 20:00:00	347	12	14.2	1	2	10
Övre_Björntjärn	2012-05-22 20:00:00	287	10	14.2	1	2	24
Övre_Björntjärn	2012-05-23 20:00:00	322	12	14.7	1	2	25
Övre_Björntjärn	2012-05-24 20:00:00	361	15	14.1	1	2	20
Övre_Björntjärn	2012-05-25 20:00:00	301	11	14	1	2	14
Övre_Björntjärn	2012-05-26 20:00:00	303	13	14.8	2	3	12
Övre_Björntjärn	2012-05-27 20:00:00	301	13	15.6	0	2	10
Övre_Björntjärn	2012-05-28 20:00:00	302	14	15.5	2	3	22
Övre_Björntjärn	2012-05-29 20:00:00	293	13	15.5	2	4	24
Övre_Björntjärn	2012-05-30 20:00:00	334	15	15.2	3	4	35
Övre_Björntjärn	2012-05-31 20:00:00	304	13	15.2	2	4	19
Övre_Björntjärn	2012-06-01 20:00:00	334	20	14.6	4	6	22
Övre_Björntjärn	2012-06-02 20:00:00	314	13	15.8	1	4	18
Övre_Björntjärn	2012-06-03 20:00:00	676	19	22	1	7	22
Övre_Björntjärn	2012-06-04 10:30:00	419	15	21.1	4	5	7
Övre_Björntjärn	2012-06-11 20:00:00	385	16	21.1	2	9	9
Övre_Björntjärn	2012-06-14 20:00:00	390	15	21.7	1	10	10
Övre_Björntjärn	2012-06-18 10:30:00	355	15	20	5	6	7
Övre_Björntjärn	2012-07-02 10:30:00	525	25	28.6	0	5	12
Övre_Björntjärn	2012-07-11 20:00:00	500	20	31.8	1	5	12
Övre_Björntjärn	2012-07-12 20:00:00	576	21	36.8	2	5	8
Övre_Björntjärn	2012-07-16 10:30:00	615	20	32.6	6	9	16
Övre_Björntjärn	2012-07-22 20:00:00	532	22	23.3	5	10	63
Övre_Björntjärn	2012-07-24 20:00:00	518	25	26.4	4	7	51
Övre_Björntjärn	2012-07-27 20:00:00	563	27	25.6	6	15	69
Övre_Björntjärn	2012-07-31 10:30:00	455	35	24.2	10	6	8
Övre_Björntjärn	2012-08-02 20:00:00	625	24	NA	7	10	15
Övre_Björntjärn	2012-08-03 20:00:00	546	27	29.9	11	16	13
Övre_Björntjärn	2012-08-04 20:00:00	514	31	28.1	7	10	14
Övre_Björntjärn	2012-08-11 10:30:00	534	33	35.8	6	8	7
Övre_Björntjärn	2012-08-22 20:00:00	476	43	21.9	5	7	14
Övre_Björntjärn	2012-08-24 20:00:00	521	44	22.2	10	27	14
Övre_Björntjärn	2012-08-25 20:00:00	514	44	21.9	7	26	12
Övre_Björntjärn	2012-08-27 20:00:00	817	42	50.6	9	7	5
Övre_Björntjärn	2012-08-27 10:30:00	721	39	44.9	1	7	35
Övre_Björntjärn	2012-08-30 20:00:00	725	28	41.9	3	6	8
Övre_Björntjärn	2012-08-31 20:00:00	619	29	42.6	3	5	3
Övre_Björntjärn	2012-09-10 10:30:00	530	22	28.9	8	5	4
Övre_Björntjärn	2012-09-14 20:00:00	497	23	25.8	0	3	2
Övre_Björntjärn	2012-09-15 20:00:00	566	23	33.1	6	4	8
Övre_Björntjärn	2012-09-17 20:00:00	586	27	32	10	5	7
Övre_Björntjärn	2012-09-25 10:30:00	497	23	27.7	7	7	8
Övre_Björntjärn	2012-10-05 20:00:00	574	21	32.8	5	5	8
Övre_Björntjärn	2012-10-06 20:00:00	676	23	38.3	4	4	1
Övre_Björntjärn	2012-10-07 20:00:00	597	18	34.1	4	4	7
Övre_Björntjärn	2012-10-08 10:30:00	567	15	33.4	4	3	6
Övre_Björntjärn	2012-10-15 20:00:00	625	21	28	3	3	12
Övre_Björntjärn	2012-10-16 20:00:00	697	22	25.4	4	3	12
Övre_Björntjärn	2012-10-17 20:00:00	510	18	24.7	4	4	16
Övre_Björntjärn	2012-10-18 20:00:00	576	24	29.8	3	2	14
Övre_Björntjärn	2012-10-19 20:00:00	537	20	30	2	2	8

