site	dateTime	discharge
HP6	2013-01-01 00:00:00	0.000799
HP6	2013-01-02 00:00:00	0.000738
HP6	2013-01-03 00:00:00	0.000694
HP6	2013-01-04 00:00:00	0.000756
HP6	2013-01-05 00:00:00	0.000721
HP6	2013-01-06 00:00:00	0.000729
HP6	2013-01-07 00:00:00	0.000688
HP6	2013-01-08 00:00:00	0.000675
HP6	2013-01-09 00:00:00	0.000687
HP6	2013-01-10 00:00:00	0.000674
HP6	2013-01-11 00:00:00	0.001433
HP6	2013-01-12 00:00:00	0.002283
HP6	2013-01-13 00:00:00	0.004003
HP6	2013-01-14 00:00:00	0.006724
HP6	2013-01-15 00:00:00	0.004442
HP6	2013-01-16 00:00:00	0.003131
HP6	2013-01-17 00:00:00	0.002379
HP6	2013-01-18 00:00:00	0.001896
HP6	2013-01-19 00:00:00	0.001819
HP6	2013-01-20 00:00:00	0.001870
HP6	2013-01-21 00:00:00	0.001550
HP6	2013-01-22 00:00:00	0.001311
HP6	2013-01-23 00:00:00	0.001058
HP6	2013-01-24 00:00:00	0.000979
HP6	2013-01-25 00:00:00	0.000892
HP6	2013-01-26 00:00:00	0.000851
HP6	2013-01-27 00:00:00	0.000785
HP6	2013-01-28 00:00:00	0.000801
HP6	2013-01-29 00:00:00	0.000810
HP6	2013-01-30 00:00:00	0.009143
HP6	2013-01-31 00:00:00	0.015465
HP6	2013-02-01 00:00:00	0.008209
HP6	2013-02-02 00:00:00	0.004443
HP6	2013-02-03 00:00:00	0.003030
HP6	2013-02-04 00:00:00	0.002320
HP6	2013-02-05 00:00:00	0.001875
HP6	2013-02-06 00:00:00	0.001608
HP6	2013-02-07 00:00:00	0.001395
HP6	2013-02-08 00:00:00	0.001279
HP6	2013-02-09 00:00:00	0.001143
HP6	2013-02-10 00:00:00	0.001050
HP6	2013-02-11 00:00:00	0.001054
HP6	2013-02-12 00:00:00	0.001149
HP6	2013-02-13 00:00:00	0.002377
HP6	2013-02-14 00:00:00	0.000976
HP6	2013-02-15 00:00:00	0.000952
HP6	2013-02-16 00:00:00	0.000906
HP6	2013-02-17 00:00:00	0.000858
HP6	2013-02-18 00:00:00	0.000803
HP6	2013-02-19 00:00:00	0.000809
HP6	2013-02-20 00:00:00	0.000778
HP6	2013-02-21 00:00:00	0.000734
HP6	2013-02-22 00:00:00	0.000722
HP6	2013-02-23 00:00:00	0.000722
HP6	2013-02-24 00:00:00	0.000709
HP6	2013-02-25 00:00:00	0.000684
HP6	2013-02-26 00:00:00	0.000684
HP6	2013-02-27 00:00:00	0.000699
HP6	2013-02-28 00:00:00	0.000722
HP6	2013-03-01 00:00:00	0.000689
HP6	2013-03-02 00:00:00	0.000684
HP6	2013-03-03 00:00:00	0.000677
HP6	2013-03-04 00:00:00	0.000647
HP6	2013-03-05 00:00:00	0.000623
HP6	2013-03-06 00:00:00	0.000622
HP6	2013-03-07 00:00:00	0.000633
HP6	2013-03-08 00:00:00	0.000643
HP6	2013-03-09 00:00:00	0.000727
HP6	2013-03-10 00:00:00	0.000873
HP6	2013-03-11 00:00:00	0.003320
HP6	2013-03-12 00:00:00	0.007155
HP6	2013-03-13 00:00:00	0.005514
HP6	2013-03-14 00:00:00	0.003791
HP6	2013-03-15 00:00:00	0.002979
HP6	2013-03-16 00:00:00	0.002378
HP6	2013-03-17 00:00:00	0.002123
HP6	2013-03-18 00:00:00	0.002100
HP6	2013-03-19 00:00:00	0.002100
HP6	2013-03-20 00:00:00	0.001954
HP6	2013-03-21 00:00:00	0.001453
HP6	2013-03-22 00:00:00	0.001319
HP6	2013-03-23 00:00:00	0.001243
HP6	2013-03-24 00:00:00	0.001256
HP6	2013-03-25 00:00:00	0.001229
HP6	2013-03-26 00:00:00	0.001490
HP6	2013-03-27 00:00:00	0.001455
HP6	2013-03-28 00:00:00	0.001425
HP6	2013-03-29 00:00:00	0.001977
HP6	2013-03-30 00:00:00	0.002505
HP6	2013-03-31 00:00:00	0.002878
HP6	2013-04-01 00:00:00	0.003805
HP6	2013-04-02 00:00:00	0.003136
HP6	2013-04-03 00:00:00	0.002573
HP6	2013-04-04 00:00:00	0.002498
HP6	2013-04-05 00:00:00	0.002382
HP6	2013-04-06 00:00:00	0.002222
HP6	2013-04-07 00:00:00	0.003580
HP6	2013-04-08 00:00:00	0.005568
HP6	2013-04-09 00:00:00	0.012832
HP6	2013-04-10 00:00:00	0.011797
HP6	2013-04-11 00:00:00	0.007693
HP6	2013-04-12 00:00:00	0.005150
HP6	2013-04-13 00:00:00	0.004727
HP6	2013-04-14 00:00:00	0.004062
HP6	2013-04-15 00:00:00	0.005976
HP6	2013-04-16 00:00:00	0.029516
HP6	2013-04-17 00:00:00	0.016194
HP6	2013-04-18 00:00:00	0.048649
HP6	2013-04-19 00:00:00	0.060628
HP6	2013-04-20 00:00:00	0.014543
HP6	2013-04-21 00:00:00	0.007301
HP6	2013-04-22 00:00:00	0.006489
HP6	2013-04-23 00:00:00	0.007184
HP6	2013-04-24 00:00:00	0.010742
HP6	2013-04-25 00:00:00	0.009123
HP6	2013-04-26 00:00:00	0.008149
HP6	2013-04-27 00:00:00	0.007261
HP6	2013-04-28 00:00:00	0.006065
HP6	2013-04-29 00:00:00	0.004940
HP6	2013-04-30 00:00:00	0.004169
HP6	2013-05-01 00:00:00	0.003415
HP6	2013-05-02 00:00:00	0.002942
HP6	2013-05-03 00:00:00	0.002552
HP6	2013-05-04 00:00:00	0.002252
HP6	2013-05-05 00:00:00	0.002097
HP6	2013-05-06 00:00:00	0.001862
HP6	2013-05-07 00:00:00	0.001571
HP6	2013-05-08 00:00:00	0.001350
HP6	2013-05-09 00:00:00	0.001218
HP6	2013-05-10 00:00:00	0.002591
HP6	2013-05-11 00:00:00	0.002930
HP6	2013-05-12 00:00:00	0.002388
HP6	2013-05-13 00:00:00	0.002002
HP6	2013-05-14 00:00:00	0.001701
HP6	2013-05-15 00:00:00	0.001590
HP6	2013-05-16 00:00:00	0.001278
HP6	2013-05-17 00:00:00	0.001113
HP6	2013-05-18 00:00:00	0.001057
HP6	2013-05-19 00:00:00	0.001245
HP6	2013-05-20 00:00:00	0.001604
HP6	2013-05-21 00:00:00	0.003544
HP6	2013-05-22 00:00:00	0.005143
HP6	2013-05-23 00:00:00	0.008970
HP6	2013-05-24 00:00:00	0.005494
HP6	2013-05-25 00:00:00	0.003476
HP6	2013-05-26 00:00:00	0.002568
HP6	2013-05-27 00:00:00	0.001976
HP6	2013-05-28 00:00:00	0.001793
HP6	2013-05-29 00:00:00	0.002673
HP6	2013-05-30 00:00:00	0.001957
HP6	2013-05-31 00:00:00	0.002545
HP6	2013-06-01 00:00:00	0.006870
HP6	2013-06-02 00:00:00	0.007849
HP6	2013-06-03 00:00:00	0.004439
HP6	2013-06-04 00:00:00	0.002809
HP6	2013-06-05 00:00:00	0.002041
HP6	2013-06-06 00:00:00	0.001722
HP6	2013-06-07 00:00:00	0.002790
HP6	2013-06-08 00:00:00	0.001889
HP6	2013-06-09 00:00:00	0.001438
HP6	2013-06-10 00:00:00	0.001196
HP6	2013-06-11 00:00:00	0.001792
HP6	2013-06-12 00:00:00	0.001170
HP6	2013-06-13 00:00:00	0.004751
HP6	2013-06-14 00:00:00	0.003332
HP6	2013-06-15 00:00:00	0.001811
HP6	2013-06-16 00:00:00	0.006559
HP6	2013-06-17 00:00:00	0.006411
HP6	2013-06-18 00:00:00	0.004221
HP6	2013-06-19 00:00:00	0.003001
HP6	2013-06-20 00:00:00	0.002313
HP6	2013-06-21 00:00:00	0.001873
HP6	2013-06-22 00:00:00	0.001581
HP6	2013-06-23 00:00:00	0.001375
HP6	2013-06-24 00:00:00	0.001133
HP6	2013-06-25 00:00:00	0.000868
HP6	2013-06-26 00:00:00	0.000680
HP6	2013-06-27 00:00:00	0.000574
HP6	2013-06-28 00:00:00	0.000526
HP6	2013-06-29 00:00:00	0.000543
HP6	2013-06-30 00:00:00	0.000545
HP6	2013-07-01 00:00:00	0.000459
HP6	2013-07-02 00:00:00	0.000350
HP6	2013-07-03 00:00:00	0.000244
HP6	2013-07-04 00:00:00	0.000074
HP6	2013-07-05 00:00:00	0.000102
HP6	2013-07-06 00:00:00	0.000108
HP6	2013-07-07 00:00:00	0.000095
HP6	2013-07-08 00:00:00	0.000048
HP6	2013-07-09 00:00:00	0.000033
HP6	2013-07-10 00:00:00	0.000161
HP6	2013-07-11 00:00:00	0.000137
HP6	2013-07-12 00:00:00	0.000107
HP6	2013-07-13 00:00:00	0.000022
HP6	2013-07-14 00:00:00	0.000003
HP6	2013-07-15 00:00:00	0.000000
HP6	2013-07-16 00:00:00	0.000000
HP6	2013-07-17 00:00:00	0.000000
HP6	2013-07-18 00:00:00	0.000000
HP6	2013-07-19 00:00:00	0.000696
HP6	2013-07-20 00:00:00	0.000638
HP6	2013-07-21 00:00:00	0.000232
HP6	2013-07-22 00:00:00	0.000130
HP6	2013-07-23 00:00:00	0.000135
HP6	2013-07-24 00:00:00	0.000061
HP6	2013-07-25 00:00:00	0.000020
HP6	2013-07-26 00:00:00	0.000000
HP6	2013-07-27 00:00:00	0.000000
HP6	2013-07-28 00:00:00	0.000030
HP6	2013-07-29 00:00:00	0.000085
