site	dateTime	TP	TN	PO4	NO3	NH4	NO2	DOC
TartvastuRiver	2013-01-14 00:00:00	59	3950	40	2670	91	9	12.8
TartvastuRiver	2013-02-12 00:00:00	46	2480	33	1850	142	7	10.6
TartvastuRiver	2013-03-18 00:00:00	62	2300	45	1900	164	8	7.45
TartvastuRiver	2013-04-15 00:00:00	100	4000	65	3000	164	5	11.4
TartvastuRiver	2013-05-20 00:00:00	86	2620	41	1050	48	77	23.5
TartvastuRiver	2013-06-18 00:00:00	65	2090	17	900	33	20	8.6
TartvastuRiver	2013-07-15 00:00:00	46	1200	11	474	148	13	7.8
TartvastuRiver	2013-08-12 00:00:00	64	1290	8	270	18	12	9.28
TartvastuRiver	2013-09-16 00:00:00	41	2050	12	748	40	21	8.5
TartvastuRiver	2013-10-22 00:00:00	48	2020	24	1180	68	12	6.8
TartvastuRiver	2013-11-18 00:00:00	47	2530	32	1470	91	20	8.7
TartvastuRiver	2013-12-16 00:00:00	40	3310	20	2250	57	13	9.34
