Year	doy	Date	TN_load	TP_load	DOC_load	inflow
2016	1	2016-01-01	691.4255773	4.61912703	NA	0.83534265
2016	2	2016-01-02	684.8981245	4.556494799	NA	0.82401597
2016	3	2016-01-03	673.5656052	4.462546452	NA	0.80702595
2016	4	2016-01-04	659.7424761	4.352940048	NA	0.78720426
2016	5	2016-01-05	652.2608604	4.290307817	NA	0.77587758
2016	6	2016-01-06	654.9423028	4.290307817	NA	0.77587758
2016	7	2016-01-07	661.4355036	4.337281991	NA	0.78437259
2016	8	2016-01-08	798.8104944	8.143657961	NA	1.05904458
2016	9	2016-01-09	838.4889913	14.91429999	NA	1.3592016
2016	10	2016-01-10	722.2279127	8.0149683	NA	1.0194012
2016	11	2016-01-11	678.2777019	4.791365665	NA	0.86649102
2016	12	2016-01-12	594.0471376	4.196359471	NA	0.75888756
2016	13	2016-01-13	580.1065731	4.102411125	NA	0.74189754
2016	14	2016-01-14	584.5348676	4.13372724	NA	0.74756088
2016	15	2016-01-15	597.1591766	4.227675587	NA	0.7645509
2016	16	2016-01-16	583.8889727	4.069137752	NA	0.74756088
2016	17	2016-01-17	566.1953674	3.945830547	NA	0.72490752
2016	18	2016-01-18	550.1042666	3.837936743	NA	0.70508583
2016	19	2016-01-19	534.639488	3.730042939	NA	0.68526414
2016	20	2016-01-20	540.6678402	3.776283141	NA	0.69375915
2016	21	2016-01-21	540.6678402	3.776283141	NA	0.69375915
2016	22	2016-01-22	549.4950702	3.837936743	NA	0.70508583
2016	23	2016-01-23	551.0902349	3.853350144	NA	0.7079175
2016	24	2016-01-24	573.1338443	4.00748415	NA	0.7362342
2016	25	2016-01-25	590.1130506	4.130791354	NA	0.75888756
2016	26	2016-01-26	607.7283656	4.186573185	NA	0.78154092
2016	27	2016-01-27	593.856305	4.095560724	NA	0.7645509
2016	28	2016-01-28	609.2525796	4.201741928	NA	0.78437259
2016	29	2016-01-29	591.6568373	4.080391981	NA	0.76171923
2016	30	2016-01-30	601.9838156	4.156235698	NA	0.77587758
2016	31	2016-01-31	612.9689218	4.232079415	NA	0.79003593
2016	32	2016-02-01	610.0917537	4.216910672	NA	0.78720426
2016	33	2016-02-02	627.6483509	4.338260619	NA	0.80985762
2016	34	2016-02-03	660.5669707	4.565791771	NA	0.85233267
2016	35	2016-02-04	613.7958629	4.247248159	NA	0.7928676
2016	36	2016-02-05	600.6430944	4.089199639	NA	0.77587758
2016	37	2016-02-06	599.9727338	4.089199639	NA	0.77587758
2016	38	2016-02-07	626.248912	4.268288674	NA	0.80985762
2016	39	2016-02-08	605.8640781	4.133971897	NA	0.78437259
2016	40	2016-02-09	559.9321444	3.820566086	NA	0.72490752
2016	41	2016-02-10	516.1874456	3.52208436	NA	0.66827412
2016	42	2016-02-11	480.6534408	3.28329898	NA	0.6229674
2016	43	2016-02-12	456.6207688	3.119134031	NA	0.59181903
2016	44	2016-02-13	436.4683592	2.984817254	NA	0.566334
2016	45	2016-02-14	423.3743084	2.847809249	NA	0.54934398
2016	46	2016-02-15	425.5566502	2.862488678	NA	0.55217565
2016	47	2016-02-16	431.6192544	2.906526966	NA	0.56067066
2016	48	2016-02-17	442.5187305	2.979924111	NA	0.57482901
2016	49	2016-02-18	473.0372637	3.185436119	NA	0.61447239
2016	50	2016-02-19	1453.92895	77.51815067	NA	2.14640586
2016	51	2016-02-20	2518.74538	422.1559158	NA	4.1059215
2016	52	2016-02-21	1754.411971	297.3171574	NA	3.4829541
2016	53	2016-02-22	817.729832	49.89537958	NA	1.45831005
2016	54	2016-02-23	717.2148877	25.70955216	NA	1.18080639
2016	55	2016-02-24	681.3163437	14.48614997	NA	1.08169794
2016	56	2016-02-25	605.0273506	10.7688292	NA	0.95144112
2016	57	2016-02-26	556.8690368	9.494654755	NA	0.87215436
2016	58	2016-02-27	563.0539696	9.206693287	NA	0.88064937
2016	59	2016-02-28	620.8517752	9.706038534	NA	0.96843114
2016	60	2016-02-29	613.4239841	9.151890085	NA	0.95427279
2016	61	2016-03-01	559.5676052	7.96163304	NA	0.86932269
2016	62	2016-03-02	559.9908621	7.56137394	NA	0.86649102
2016	63	2016-03-03	511.2624971	6.552897159	NA	0.79003593
2016	64	2016-03-04	501.6034327	6.078017627	NA	0.77304591
2016	65	2016-03-05	528.7310178	6.038627826	NA	0.81268929
2016	66	2016-03-06	565.1580211	6.103706628	NA	0.87215436
2016	67	2016-03-07	618.2486231	6.507880243	NA	0.9910845
2016	68	2016-03-08	629.3364852	6.392402067	NA	1.04205456
2016	69	2016-03-09	628.0006572	5.868346448	NA	1.01373786
2016	70	2016-03-10	566.9489115	4.839807781	NA	0.88914438
2016	71	2016-03-11	526.2086025	4.154278441	NA	0.80136261
2016	72	2016-03-12	510.7756294	3.671814537	NA	0.75888756
2016	73	2016-03-13	519.7300811	3.726617739	NA	0.77021424
2016	74	2016-03-14	556.0347559	3.986932949	NA	0.82401597
2016	75	2016-03-15	563.1395996	5.159085364	NA	0.84100599
2016	76	2016-03-16	2000.952983	177.3715421	NA	3.6528543
2016	77	2016-03-17	1127.918402	40.69651532	NA	1.76413041
2016	78	2016-03-18	816.6704665	12.80241945	NA	1.19496474
2016	79	2016-03-19	697.3854255	9.74934285	NA	1.01656953
2016	80	2016-03-20	625.0818974	8.771692871	NA	0.91462941
2016	81	2016-03-21	587.2627948	8.282867881	NA	0.86365935
2016	82	2016-03-22	567.7611732	8.038455386	NA	0.83817432
2016	83	2016-03-23	601.8761665	9.138433942	NA	0.91179774
2016	84	2016-03-24	736.5403561	14.9490413	NA	1.26292482
2016	85	2016-03-25	649.2564705	12.86358374	NA	1.17231138
2016	86	2016-03-26	729.4110467	15.48899964	NA	1.27141983
2016	87	2016-03-27	639.0151222	12.91422777	NA	1.10718297
2016	88	2016-03-28	601.7391585	11.46169826	NA	1.03639122
2016	89	2016-03-29	536.7166272	9.621142502	NA	0.92029275
2016	90	2016-03-30	571.4603894	9.678636933	NA	0.97409448
2016	91	2016-03-31	1113.933799	37.96687548	NA	2.07278244
2016	92	2016-04-01	940.3275309	28.48176235	NA	1.65652695
2016	93	2016-04-02	762.5669839	13.68709971	NA	1.25726148
2016	94	2016-04-03	698.5597798	9.231648316	NA	1.10151963
2016	95	2016-04-04	632.5659596	6.191783203	NA	0.96843114
2016	96	2016-04-05	585.8413368	5.368267229	NA	0.90047106
2016	97	2016-04-06	737.6462064	12.31310515	NA	1.31955822
2016	98	2016-04-07	643.0690912	8.125064018	NA	1.14682635
2016	99	2016-04-08	607.7968696	6.938721488	NA	1.01656953
2016	100	2016-04-09	564.8203943	6.080219542	NA	0.92595609
2016	101	2016-04-10	556.9717928	5.750911015	NA	0.91179774
2016	102	2016-04-11	536.21508	5.384903916	NA	0.8778177
2016	103	2016-04-12	491.9370287	4.724818919	NA	0.80419428
2016	104	2016-04-13	479.8118202	4.405052022	NA	0.78437259
2016	105	2016-04-14	470.0818053	4.110729468	NA	0.76738257
2016	106	2016-04-15	482.2241397	4.012866607	NA	0.78720426
2016	107	2016-04-16	474.2189577	3.807109942	NA	0.77304591
2016	108	2016-04-17	464.4497976	3.527466818	NA	0.75605589
2016	109	2016-04-18	457.4917482	3.28158638	NA	0.74472921
2016	110	2016-04-19	456.3932376	3.076808344	NA	0.74189754
2016	111	2016-04-20	465.1030322	3.004879141	NA	0.75605589
2016	112	2016-04-21	456.3932376	2.884507822	NA	0.74189754
2016	113	2016-04-22	445.9414841	2.818450391	NA	0.72490752
2016	114	2016-04-23	438.9736484	2.774412104	NA	0.71358084
2016	115	2016-04-24	447.683443	2.829459963	235.7887216	0.72773919
2016	116	2016-04-25	442.4575662	2.796431247	234.6046955	0.71924418
2016	117	2016-04-26	442.4575662	2.796431247	236.173067	0.71924418
2016	118	2016-04-27	445.9414841	2.818450391	239.6134183	0.72490752
2016	119	2016-04-28	509.6771188	3.225804549	276.0542295	0.82967931
2016	120	2016-04-29	500.2749444	3.17075669	273.1217174	0.81552096
2016	121	2016-04-30	548.4283651	4.741455606	308.3080179	0.91462941
2016	122	2016-05-01	530.3335221	7.190963012	320.8700185	0.94577778
2016	123	2016-05-02	481.206366	5.394690202	284.2578304	0.83251098
2016	124	2016-05-03	464.5598934	4.826596295	266.6124283	0.77587758
2016	125	2016-05-04	462.0056727	4.606894172	263.4082298	0.76171923
2016	126	2016-05-05	436.2432746	4.225718329	250.28841	0.71924418
2016	127	2016-05-06	424.2208221	3.988400892	244.9158466	0.69942249
2016	128	2016-05-07	431.090795	3.93017249	250.4319425	0.71074917
2016	129	2016-05-08	415.6333561	3.670835909	242.9465862	0.68526414
2016	130	2016-05-09	407.0458901	3.479024701	239.3904304	0.67110579
2016	131	2016-05-10	508.9113419	4.92494847	309.9595729	0.86365935
2016	132	2016-05-11	513.8338438	7.36466959	353.7627126	0.97975782
2016	133	2016-05-12	464.9024134	8.55957512	352.8133248	0.97126281
2016	134	2016-05-13	455.740003	6.58372396	309.4007052	0.84666933
2016	135	2016-05-14	475.5841446	5.980399423	302.9192604	0.82401597
2016	136	2016-05-15	455.6984113	5.179881222	280.6320054	0.75888756
2016	137	2016-05-16	438.2519098	4.652889717	271.4962347	0.72773919
2016	138	2016-05-17	427.5383731	4.220335872	266.419204	0.7079175
2016	139	2016-05-18	416.7563324	3.804908028	261.2123761	0.68809581
2016	140	2016-05-19	395.5861491	3.319997553	249.3704353	0.6512841
2016	141	2016-05-20	403.0384059	3.034237999	255.8767811	0.66261078
2016	142	2016-05-21	400.7288424	2.724502045	255.8407263	0.65694744
2016	143	2016-05-22	393.2031884	2.388098461	252.4314876	0.64278909
2016	144	2016-05-23	411.1047522	2.203382311	265.7490999	0.67110579
2016	145	2016-05-24	400.0878407	1.913218929	260.0323541	0.6512841
2016	146	2016-05-25	407.6183878	1.889242528	266.7241246	0.66261078
2016	147	2016-05-26	432.0058127	2.002274132	284.9812442	0.70225416
2016	148	2016-05-27	449.4254019	2.083010992	298.8644017	0.73057086
2016	149	2016-05-28	519.6591306	3.928949204	353.8010975	0.85799601
2016	150	2016-05-29	648.6301482	14.40296654	477.8342383	1.14965802
2016	151	2016-05-30	534.125708	8.429417515	381.9573194	0.91179774
2016	152	2016-05-31	491.5064321	7.429748392	349.078434	0.82684764
2016	153	2016-06-01	673.492208	18.79260516	534.9069233	1.25726148
